postcode,brma_name
AB1,Aberdeen and Shire
AB2,Aberdeen and Shire
AB3 1,Aberdeen and Shire
AB3 2,Aberdeen and Shire
AB3 3,Aberdeen and Shire
AB3 4,Aberdeen and Shire
AB3 5,Aberdeen and Shire
AB3 6,Aberdeen and Shire
AB3 7,Aberdeen and Shire
AB3 8,Aberdeen and Shire
AB3 9,Highland and Isles
AB30 1A,Aberdeen and Shire
AB30 1B,Aberdeen and Shire
AB30 1DA,Aberdeen and Shire
AB30 1DB,Aberdeen and Shire
AB30 1DD,Aberdeen and Shire
AB30 1DE,Aberdeen and Shire
AB30 1DF,Aberdeen and Shire
AB30 1DG,Aberdeen and Shire
AB30 1DH,Aberdeen and Shire
AB30 1DJ,Aberdeen and Shire
AB30 1DL,Aberdeen and Shire
AB30 1DN,Aberdeen and Shire
AB30 1DP,Aberdeen and Shire
AB30 1DQ,Aberdeen and Shire
AB30 1DR,Aberdeen and Shire
AB30 1DS,Aberdeen and Shire
AB30 1DT,Aberdeen and Shire
AB30 1DU,Dundee and Angus
AB30 1DW,Aberdeen and Shire
AB30 1DX,Aberdeen and Shire
AB30 1DY,Aberdeen and Shire
AB30 1DZ,Aberdeen and Shire
AB30 1E,Aberdeen and Shire
AB30 1F,Aberdeen and Shire
AB30 1G,Aberdeen and Shire
AB30 1H,Aberdeen and Shire
AB30 1J,Aberdeen and Shire
AB30 1L,Aberdeen and Shire
AB30 1N,Aberdeen and Shire
AB30 1P,Aberdeen and Shire
AB30 1Q,Aberdeen and Shire
AB30 1R,Aberdeen and Shire
AB30 1S,Aberdeen and Shire
AB30 1T,Aberdeen and Shire
AB30 1U,Aberdeen and Shire
AB30 1W,Aberdeen and Shire
AB30 1X,Aberdeen and Shire
AB30 1YA,Aberdeen and Shire
AB30 1YB,Aberdeen and Shire
AB30 1YD,Aberdeen and Shire
AB30 1YE,Aberdeen and Shire
AB30 1YF,Aberdeen and Shire
AB30 1YG,Aberdeen and Shire
AB30 1YH,Aberdeen and Shire
AB30 1YJ,Dundee and Angus
AB30 1YL,Dundee and Angus
AB30 1YN,Aberdeen and Shire
AB30 1YP,Aberdeen and Shire
AB30 1YQ,Aberdeen and Shire
AB30 1YR,Aberdeen and Shire
AB30 1YS,Aberdeen and Shire
AB30 1YT,Aberdeen and Shire
AB30 1YU,Aberdeen and Shire
AB30 1YW,Aberdeen and Shire
AB30 1YX,Aberdeen and Shire
AB30 1YY,Aberdeen and Shire
AB30 1YZ,Aberdeen and Shire
AB30 1Z,Aberdeen and Shire
AB30 9,Aberdeen and Shire
AB31,Aberdeen and Shire
AB32,Aberdeen and Shire
AB33,Aberdeen and Shire
AB34,Aberdeen and Shire
AB35,Aberdeen and Shire
AB36,Aberdeen and Shire
AB37,Highland and Isles
AB38,Highland and Isles
AB39,Aberdeen and Shire
AB4 0,Aberdeen and Shire
AB4 1,Aberdeen and Shire
AB4 2A,Aberdeen and Shire
AB4 2B,Aberdeen and Shire
AB4 2D,Aberdeen and Shire
AB4 2E,Aberdeen and Shire
AB4 2H,Aberdeen and Shire
AB4 2J,Aberdeen and Shire
AB4 2L,Aberdeen and Shire
AB4 2N,Aberdeen and Shire
AB4 2P,Aberdeen and Shire
AB4 2Q,Aberdeen and Shire
AB4 2R,Aberdeen and Shire
AB4 2S,Aberdeen and Shire
AB4 2T,Aberdeen and Shire
AB4 2UA,Aberdeen and Shire
AB4 2UB,Aberdeen and Shire
AB4 2UD,Aberdeen and Shire
AB4 2UJ,Aberdeen and Shire
AB4 2UL,Aberdeen and Shire
AB4 2UN,Aberdeen and Shire
AB4 2UP,Highland and Isles
AB4 2UQ,Highland and Isles
AB4 2UR,Aberdeen and Shire
AB4 2US,Aberdeen and Shire
AB4 2UT,Aberdeen and Shire
AB4 2UX,Aberdeen and Shire
AB4 2X,Aberdeen and Shire
AB4 2Y,Aberdeen and Shire
AB4 3,Aberdeen and Shire
AB4 4,Aberdeen and Shire
AB4 5,Aberdeen and Shire
AB4 6,Aberdeen and Shire
AB4 7,Aberdeen and Shire
AB4 8,Aberdeen and Shire
AB4 9,Aberdeen and Shire
AB41,Aberdeen and Shire
AB42,Aberdeen and Shire
AB43,Aberdeen and Shire
AB44,Aberdeen and Shire
AB45,Aberdeen and Shire
AB5 0,Aberdeen and Shire
AB5 1,Highland and Isles
AB5 2,Highland and Isles
AB5 3A,Highland and Isles
AB5 3B,Highland and Isles
AB5 3D,Highland and Isles
AB5 3E,Highland and Isles
AB5 3F,Highland and Isles
AB5 3G,Highland and Isles
AB5 3H,Highland and Isles
AB5 3J,Highland and Isles
AB5 3L,Highland and Isles
AB5 3N,Highland and Isles
AB5 3P,Highland and Isles
AB5 3Q,Highland and Isles
AB5 3R,Highland and Isles
AB5 3SA,Highland and Isles
AB5 3SB,Highland and Isles
AB5 3SD,Highland and Isles
AB5 3SE,Highland and Isles
AB5 3SH,Highland and Isles
AB5 3SJ,Highland and Isles
AB5 3SL,Highland and Isles
AB5 3SN,Highland and Isles
AB5 3SP,Highland and Isles
AB5 3SQ,Aberdeen and Shire
AB5 3SR,Highland and Isles
AB5 3SS,Highland and Isles
AB5 3ST,Highland and Isles
AB5 3SU,Highland and Isles
AB5 3SX,Highland and Isles
AB5 3SY,Highland and Isles
AB5 3T,Highland and Isles
AB5 3U,Highland and Isles
AB5 3X,Highland and Isles
AB5 3Y,Highland and Isles
AB5 4A,Highland and Isles
AB5 4B,Highland and Isles
AB5 4D,Highland and Isles
AB5 4EA,Highland and Isles
AB5 4EB,Highland and Isles
AB5 4ED,Highland and Isles
AB5 4EE,Highland and Isles
AB5 4EF,Highland and Isles
AB5 4EG,Highland and Isles
AB5 4EH,Aberdeen and Shire
AB5 4EJ,Aberdeen and Shire
AB5 4EL,Aberdeen and Shire
AB5 4EN,Aberdeen and Shire
AB5 4EP,Aberdeen and Shire
AB5 4EQ,Aberdeen and Shire
AB5 4ER,Aberdeen and Shire
AB5 4ES,Aberdeen and Shire
AB5 4ET,Highland and Isles
AB5 4EU,Aberdeen and Shire
AB5 4EW,Aberdeen and Shire
AB5 4EX,Aberdeen and Shire
AB5 4EY,Aberdeen and Shire
AB5 4EZ,Aberdeen and Shire
AB5 4F,Highland and Isles
AB5 4H,Aberdeen and Shire
AB5 4J,Aberdeen and Shire
AB5 4L,Aberdeen and Shire
AB5 4N,Aberdeen and Shire
AB5 4P,Aberdeen and Shire
AB5 4Q,Aberdeen and Shire
AB5 4R,Aberdeen and Shire
AB5 4S,Aberdeen and Shire
AB5 4T,Aberdeen and Shire
AB5 4U,Aberdeen and Shire
AB5 4W,Aberdeen and Shire
AB5 4X,Aberdeen and Shire
AB5 4YA,Aberdeen and Shire
AB5 4YB,Aberdeen and Shire
AB5 4YD,Aberdeen and Shire
AB5 4YE,Aberdeen and Shire
AB5 4YH,Aberdeen and Shire
AB5 4YJ,Aberdeen and Shire
AB5 4YL,Aberdeen and Shire
AB5 4YN,Aberdeen and Shire
AB5 4YP,Aberdeen and Shire
AB5 4YQ,Aberdeen and Shire
AB5 4YR,Aberdeen and Shire
AB5 4YS,Highland and Isles
AB5 4YT,Aberdeen and Shire
AB5 4YU,Aberdeen and Shire
AB5 4YX,Aberdeen and Shire
AB5 4YY,Highland and Isles
AB5 5,Aberdeen and Shire
AB5 6,Aberdeen and Shire
AB5 7,Aberdeen and Shire
AB5 8,Aberdeen and Shire
AB5 9,Aberdeen and Shire
AB51,Aberdeen and Shire
AB52,Aberdeen and Shire
AB53,Aberdeen and Shire
AB54 4A,Aberdeen and Shire
AB54 4E,Aberdeen and Shire
AB54 4G,Aberdeen and Shire
AB54 4H,Aberdeen and Shire
AB54 4J,Aberdeen and Shire
AB54 4L,Aberdeen and Shire
AB54 4N,Aberdeen and Shire
AB54 4P,Aberdeen and Shire
AB54 4Q,Aberdeen and Shire
AB54 4R,Aberdeen and Shire
AB54 4S,Aberdeen and Shire
